,flick_pitch,flick_time,iteration,jump1_pitch,jump1_time,jump2_pitch,jump2_time,lead_distance,maxSpeed_action,minSpeed_action,result,start_x,timestamp
55,-1.0,0.15,11.0,-1.0,0.25,-0.33333333333333337,0.02,1000.0,750.0,700.0,FAIL: Timeout,-2048,2020-12-21 07:33:47.126974
56,-0.33333333333333337,0.15,11.0,-0.33333333333333337,0.25,-0.33333333333333337,0.02,700.0,950.0,700.0,FAIL: NoTouch,2048,2020-12-21 07:34:07.152860
57,0.33333333333333326,0.35,11.0,0.33333333333333326,0.25,-1.0,0.12000000000000001,1300.0,950.0,700.0,PASS: Medium,-256,2020-12-21 07:34:20.203445
58,1.0,0.55,11.0,-1.0,0.15000000000000002,-1.0,0.22,700.0,950.0,700.0,PASS: Medium,256,2020-12-21 07:34:32.712404
59,-1.0,0.55,11.0,0.33333333333333326,0.15000000000000002,1.0,0.02,1000.0,950.0,700.0,FAIL: NoTouch,0,2020-12-21 07:34:52.732797
60,1.0,0.35,12.0,0.33333333333333326,0.25,-1.0,0.22,1300.0,450.0,0.0,FAIL: Timeout,-2048,2020-12-21 07:35:12.666371
61,0.33333333333333326,0.35,12.0,1.0,0.25,-0.33333333333333337,0.02,700.0,1150.0,700.0,FAIL: NoTouch,2048,2020-12-21 07:35:32.671081
62,-0.33333333333333337,0.15,12.0,0.33333333333333326,0.15000000000000002,0.33333333333333326,0.02,1000.0,950.0,700.0,FAIL: NoTouch,-256,2020-12-21 07:35:52.661033
63,-1.0,0.15,12.0,-1.0,0.25,-0.33333333333333337,0.22,700.0,50.0,0.0,PASS: Medium,256,2020-12-21 07:36:06.571720
64,0.33333333333333326,0.15,12.0,0.33333333333333326,0.05,1.0,0.12000000000000001,1000.0,250.0,0.0,PASS: Slow,0,2020-12-21 07:36:23.127988
65,-1.0,0.55,13.0,-1.0,0.25,-0.33333333333333337,0.12000000000000001,700.0,800.0,350.0,FAIL: NoTouch,-2048,2020-12-21 07:36:43.166492
66,-1.0,0.35,13.0,1.0,0.15000000000000002,1.0,0.02,1000.0,750.0,700.0,FAIL: NoTouch,2048,2020-12-21 07:37:03.136430
67,0.33333333333333326,0.15,13.0,1.0,0.05,0.33333333333333326,0.02,1300.0,250.0,0.0,FAIL: NoTouch,-256,2020-12-21 07:37:23.058983
68,0.33333333333333326,0.35,13.0,1.0,0.25,-0.33333333333333337,0.22,700.0,1150.0,700.0,FAIL: NoTouch,256,2020-12-21 07:37:42.982536
69,1.0,0.35,13.0,0.33333333333333326,0.15000000000000002,1.0,0.02,400.0,600.0,350.0,FAIL: NoTouch,0,2020-12-21 07:38:02.936649
70,1.0,0.15,14.0,-1.0,0.05,-0.33333333333333337,0.22,1300.0,950.0,700.0,FAIL: NoTouch,-2048,2020-12-21 07:38:22.932842
71,0.33333333333333326,0.55,14.0,0.33333333333333326,0.15000000000000002,1.0,0.12000000000000001,700.0,50.0,0.0,FAIL: NoTouch,2048,2020-12-21 07:38:42.855379
72,1.0,0.55,14.0,-0.33333333333333337,0.25,-0.33333333333333337,0.22,400.0,950.0,700.0,FAIL: NoTouch,-256,2020-12-21 07:39:02.793512
73,1.0,0.35,14.0,0.33333333333333326,0.25,-1.0,0.02,1300.0,50.0,0.0,PASS: Medium,256,2020-12-21 07:39:16.383019
74,-1.0,0.35,14.0,-1.0,0.25,0.33333333333333326,0.12000000000000001,400.0,1150.0,700.0,FAIL: NoTouch,0,2020-12-21 07:39:36.374429
75,-1.0,0.15,15.0,-0.33333333333333337,0.15000000000000002,1.0,0.22,1300.0,50.0,0.0,FAIL: Timeout,-2048,2020-12-21 07:39:56.371902
76,1.0,0.55,15.0,0.33333333333333326,0.25,0.33333333333333326,0.22,1300.0,800.0,350.0,FAIL: NoTouch,2048,2020-12-21 07:40:16.355656
77,-0.33333333333333337,0.35,15.0,0.33333333333333326,0.15000000000000002,1.0,0.12000000000000001,700.0,1150.0,700.0,FAIL: NoTouch,-256,2020-12-21 07:40:36.357955
78,-0.33333333333333337,0.15,15.0,1.0,0.05,1.0,0.12000000000000001,400.0,950.0,700.0,FAIL: NoTouch,256,2020-12-21 07:40:56.309692
79,0.33333333333333326,0.35,15.0,-0.33333333333333337,0.15000000000000002,0.33333333333333326,0.22,1000.0,800.0,350.0,FAIL: NoTouch,0,2020-12-21 07:41:16.326106
80,1.0,0.35,16.0,1.0,0.25,-0.33333333333333337,0.02,1000.0,250.0,0.0,FAIL: NoTouch,-2048,2020-12-21 07:41:36.325011
81,-0.33333333333333337,0.55,16.0,0.33333333333333326,0.25,1.0,0.12000000000000001,700.0,1150.0,700.0,FAIL: NoTouch,2048,2020-12-21 07:41:56.315946
82,-0.33333333333333337,0.55,16.0,1.0,0.05,1.0,0.22,400.0,450.0,0.0,FAIL: NoTouch,-256,2020-12-21 07:42:16.366986
83,1.0,0.35,16.0,1.0,0.15000000000000002,0.33333333333333326,0.22,400.0,1150.0,700.0,FAIL: Timeout,256,2020-12-21 07:42:36.365271
84,0.33333333333333326,0.55,16.0,0.33333333333333326,0.05,0.33333333333333326,0.02,400.0,50.0,0.0,FAIL: Timeout,0,2020-12-21 07:42:56.365283
85,-0.33333333333333337,0.35,17.0,1.0,0.05,-1.0,0.12000000000000001,1300.0,800.0,350.0,FAIL: Timeout,-2048,2020-12-21 07:43:16.386453
86,-0.33333333333333337,0.55,17.0,0.33333333333333326,0.25,-1.0,0.22,1000.0,400.0,350.0,FAIL: NoTouch,2048,2020-12-21 07:43:36.434100
87,-1.0,0.55,17.0,1.0,0.05,-0.33333333333333337,0.02,400.0,450.0,0.0,FAIL: NoTouch,-256,2020-12-21 07:43:56.465284
