,flick_pitch,flick_time,iteration,jump1_pitch,jump1_time,jump2_pitch,jump2_time,lead_distance,maxSpeed_action,minSpeed_action,result,timestamp
37,1.0,0.15,37.0,-1.0,0.25,-1.0,0.22,700.0,750.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:49:44.043321
38,-0.33333333333333337,0.15,38.0,-0.33333333333333337,0.05,0.33333333333333326,0.22,400.0,450.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 05:50:54.589079
39,0.33333333333333326,0.35,39.0,-0.33333333333333337,0.25,0.33333333333333326,0.22,1000.0,750.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout]",2020-12-19 05:52:05.089875
40,-0.33333333333333337,0.35,40.0,-0.33333333333333337,0.15000000000000002,-1.0,0.02,1300.0,250.0,0.0,"[FAIL: Timeout, FAIL: Timeout, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:53:02.064763
41,-0.33333333333333337,0.55,41.0,-0.33333333333333337,0.25,1.0,0.02,1300.0,250.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast]",2020-12-19 05:53:59.096492
42,1.0,0.55,42.0,0.33333333333333326,0.15000000000000002,0.33333333333333326,0.02,400.0,50.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:54:54.134446
43,0.33333333333333326,0.35,43.0,0.33333333333333326,0.15000000000000002,-1.0,0.22,1000.0,50.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, FAIL: Timeout, FAIL: Timeout]",2020-12-19 05:55:57.564244
44,-0.33333333333333337,0.55,44.0,-0.33333333333333337,0.15000000000000002,-0.33333333333333337,0.22,700.0,400.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Medium, PASS: Fast, PASS: Fast]",2020-12-19 05:56:46.478078
45,-0.33333333333333337,0.15,45.0,-1.0,0.05,-1.0,0.02,700.0,1150.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Fast, PASS: Fast, FAIL: Timeout]",2020-12-19 05:57:41.381176
46,-1.0,0.15,46.0,-1.0,0.25,0.33333333333333326,0.02,1000.0,450.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 05:58:52.000028
47,-0.33333333333333337,0.15,47.0,-0.33333333333333337,0.15000000000000002,0.33333333333333326,0.02,700.0,750.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout, FAIL: NoTouch, FAIL: Timeout]",2020-12-19 06:00:02.510683
48,0.33333333333333326,0.35,48.0,0.33333333333333326,0.05,0.33333333333333326,0.02,700.0,600.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:01:13.091936
49,0.33333333333333326,0.35,49.0,0.33333333333333326,0.15000000000000002,-0.33333333333333337,0.22,700.0,750.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout, FAIL: NoTouch]",2020-12-19 06:02:23.674891
50,0.33333333333333326,0.55,50.0,-1.0,0.15000000000000002,-0.33333333333333337,0.12000000000000001,1000.0,250.0,0.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:03:34.219408
51,-1.0,0.35,51.0,0.33333333333333326,0.15000000000000002,0.33333333333333326,0.22,400.0,1150.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: Timeout]",2020-12-19 06:04:44.817609
52,-1.0,0.35,52.0,1.0,0.15000000000000002,1.0,0.12000000000000001,1300.0,950.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:05:55.368762
53,-0.33333333333333337,0.35,53.0,1.0,0.25,0.33333333333333326,0.12000000000000001,400.0,600.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:07:05.833620
54,-1.0,0.55,54.0,-0.33333333333333337,0.15000000000000002,0.33333333333333326,0.02,1000.0,800.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:08:16.364620
55,0.33333333333333326,0.35,55.0,0.33333333333333326,0.25,1.0,0.02,1300.0,750.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:09:26.850226
56,1.0,0.15,56.0,-0.33333333333333337,0.25,1.0,0.12000000000000001,700.0,950.0,700.0,"[FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:10:37.425365
57,1.0,0.15,57.0,1.0,0.05,1.0,0.02,1300.0,400.0,350.0,"[FAIL: NoTouch, FAIL: NoTouch, PASS: Slow, FAIL: NoTouch, FAIL: NoTouch]",2020-12-19 06:11:45.080990
